,login,reponum,code,star,commit,Objective-C,Clojure,Java,Go,JavaScript,Swift
0,anoopk19,1,144,0,1,0,0,0,0,0,0
0,aslanbakirov,19,5129157,14,110,0,0,0,0,0,0
0,celwell,16,2000587,2,108,4158556,0,0,0,0,0
0,devurandom,40,400833,88,20700,171173,0,0,0,0,0
0,dv321,7,121502,0,27,0,0,0,0,0,0
0,federicotdn,41,1618454,482,2467,0,0,0,0,0,0
0,valtlfelipe,3,10161,76,183,37,0,0,0,0,0
0,ipeevski,8,127036,18,142,0,0,0,0,0,0
0,jacktasia,15,20835,1448,1215,0,0,2121,0,0,0
0,parisholley,14,95331,195,553,0,0,0,0,0,0
0,pjaspers,41,1080488,131,3699,645514,0,0,0,0,0
0,rplevy,34,493584,738,637,0,13579,0,0,0,0
0,rodo,31,343806,52,1667,0,0,0,0,0,0
0,yejianye,23,159251,134,536,0,0,0,0,0,0
0,Shashwat986,61,5806325,17,711,0,0,0,0,0,0
0,lins05,12,670334,9,22742,5461,0,0,0,0,0
0,botchniaque,10,62985,33,70,0,0,91162,0,0,0
0,wilson,8,320475,12,104,0,0,0,0,0,0
0,jaredmcdonald,32,97357,11,592,0,0,0,0,19793,0
0,sunui,13,572432,9,61,753,0,0,0,224780,0
0,PatButlerTR,0,0,0,0,0,0,0,0,0,0
0,rthouvenin,3,192635,0,176,0,0,0,0,0,0
0,VikramTiwari,74,2749284,231,1884,0,0,0,0,0,0
0,0xflotus,76,114996,38,57270,0,0,0,0,0,0
0,Addvilz,27,41878,93,222,0,0,1405,0,0,0
0,alai04,21,24620,1,133,38,0,0,0,0,0
0,andrioni,22,49980,42,648,0,0,0,0,0,0
0,AlexBeggs,5,3937,1,56,0,0,0,0,0,0
0,maliayas,10,56003,41,266,0,0,0,0,0,0
0,asavoy,15,20392,11,87,0,0,0,0,0,0
0,aminvakil,18,32553,32,1999,0,0,0,0,0,0
0,andrewboltachev,33,43219,11,616,0,0,0,0,0,0
0,ei-grad,75,270157,260,1559,0,0,0,0,0,0
0,stieg,7,114862,5,59,0,0,0,0,0,0
0,podviaznikov,42,654768,88,1945,0,0,0,0,324345,0
0,abn,88,294901,118,3518,0,0,0,0,0,0
0,azundo,7,37928,14,303,0,0,0,0,0,0
0,bcherry,15,108112,158,629,16858,0,0,0,519864,0
0,blx,9,5359,16,490,0,0,0,0,25073,0
0,Bonifacio2,32,217474,2,287,0,0,0,0,0,0
